0.4,9.59749973747957
0.45,9.59776577444651
0.5,9.59857541732702
0.55,9.59896561907714
0.6,9.59871366929932
0.65,9.59894321116011
0.7,9.59893151579479
0.75,9.59442861574101
0.8,9.59616519830111
0.85,9.59272679637767
0.9,9.59265945405845
0.95,9.5904864538105
1,9.58804563394326
1.05,9.58353714345804
1.1,9.58009052388729
1.15,9.57765672214386
1.2,9.57750733025762
1.25,9.57722975866205
1.3,9.57202559972805
1.35,9.57082187185723
1.4,9.56489385070655
1.45,9.56291723489612
1.5,9.55487024238694
1.55,9.55078884112342
1.6,9.54637066119898
1.65,9.54231333906792
1.7,9.53815521617387
1.75,9.53151130175082
1.8,9.52775688008845
1.85,9.52476345729797
1.9,9.52082882034757
1.95,9.5154253200187
2,9.51320947988965
2.05,9.50451085166155
2.1,9.5007304792959
2.15,9.48992634547509
2.2,9.49113892726941
2.25,9.4874736099136
2.3,9.4745100782608
2.35,9.47471327359973
2.4,9.46750586114284
2.45,9.46078200544259
