0.3,6.19301120573155
0.31,6.19032192180288
0.32,6.19090122504865
0.33,6.19485995467405
0.34,6.19459324903721
0.35,6.19626251531294
0.36,6.19129067223404
0.37,6.19262550285117
0.38,6.19421817062618
0.39,6.19865096777361
0.4,6.2019874337987
0.41,6.20274016228559
0.42,6.20525517685658
0.43,6.20640336997215
0.44,6.20498513403007
0.45,6.2053236149263
0.46,6.20360573388351
0.47,6.19970670827939
0.48,6.19939985650959
0.49,6.19762128066715
0.5,6.19693043254376
0.51,6.19688391857638
0.52,6.19461679969335
0.53,6.19518231164464
0.54,6.1940287078051
0.55,6.19478343635572
0.56,6.19605657591
0.57,6.19661715515428
0.58,6.19508794603825
0.59,6.195341195891
0.6,6.19797560465864
0.61,6.19637658733977
0.62,6.1948265328293
0.63,6.19494765482475
0.64,6.19729203596389
0.65,6.19622369847127
0.66,6.19690780574921
0.67,6.19981858778333
0.68,6.20087312826574
0.69,6.20271394551286
0.7,6.20212888117713
0.71,6.20030306241707
0.72,6.20014707052387
0.73,6.19911764598476
0.74,6.19963486451062
0.75,6.19893289541879
0.76,6.19691116249599
0.77,6.19720131835412
0.78,6.19618763707481
0.79,6.19527554185397
0.8,6.196154862408
