N_A,trace_norm_distance,normalized_trace_norm_distance,theoretical_tr_rho_AB_sq
1,0.00117162080602472,0.0796856570992725,0.0147030324988738
1.05,0.00113457809877291,0.0768498309092683,0.0147635731315067
1.1,0.00113256875185922,0.0762023614234341,0.0148626463892093
1.15,0.00111195522444547,0.0745488533070426,0.0149157924651864
1.2,0.00108703488436732,0.0724819893955378,0.0149973102757338
1.25,0.0011305304986716,0.0749438512590582,0.0150850333907141
1.3,0.00112240416173999,0.074013621454022,0.0151648323604492
1.35,0.00112237476040548,0.0735297258988547,0.0152642315292918
1.4,0.0011065432802795,0.0718582592504017,0.0153989714171001
1.45,0.00111924332278297,0.0722137278879431,0.0154990381402238
1.5,0.00111659942705479,0.071807517519878,0.0155498959666122
