N_A,trace_norm_distance,normalized_trace_norm_distance,theoretical_tr_rho_AB_sq
1,0.00108223425364638,0.079447422255867,0.013622018473563
1.05,0.00107917888385678,0.079322040783681,0.0136050317565557
1.1,0.00106808383309562,0.0783986736011756,0.013623748770663
1.15,0.00106463121611157,0.0778892093191265,0.0136685328483638
1.2,0.00105585993913391,0.0770797189049663,0.0136982847645787
1.25,0.00104474782198255,0.0762081583029726,0.0137091335789675
1.3,0.00102852824166774,0.0749123738145641,0.0137297510317018
1.35,0.00104452150807068,0.0759196246926476,0.0137582543683444
1.4,0.00104300819123722,0.0758535239308589,0.0137502931595892
1.45,0.00103073903354849,0.0746211774533177,0.0138129559024087
1.5,0.00105117108054857,0.0760618741714105,0.0138199471417137
