N_A,trace_norm_distance,normalized_trace_norm_distance,theoretical_tr_rho_AB_sq
1,0.00252905519884399,0.0729971195757914,0.0346459588205823
1.05,0.00247706292773961,0.071407865097515,0.0346889369169197
1.1,0.00239430597593898,0.0689885886686724,0.0347058263133629
1.15,0.00233196245984256,0.0670892393131633,0.0347591131411893
1.2,0.00233314749549089,0.0670747268474488,0.0347843011093772
1.25,0.00229541162842676,0.0657744039754403,0.0348982505304625
1.3,0.00229354313481413,0.0657734830362362,0.034870331156867
1.35,0.00225328368206014,0.0645258352938781,0.0349206433639755
1.4,0.00226000984585491,0.0645829834435115,0.0349938904236542
1.45,0.00226290654695608,0.0645049669338644,0.0350811209511384
1.5,0.00233479669112749,0.0664578871759312,0.0351319728980652
