N_A,trace_norm_distance,normalized_trace_norm_distance,theoretical_tr_rho_AB_sq
1,0.00230841052240386,0.0680014109469112,0.0339465092011994
1.05,0.00224628126083462,0.0661419838231585,0.0339615041913532
1.1,0.00225018100436367,0.0662334432944007,0.0339734866925437
1.15,0.0021843794759132,0.0643167393294375,0.0339628454223179
1.2,0.00214892988274493,0.0632368959212368,0.0339822164171607
1.25,0.00213603453631048,0.0629409803877522,0.0339371030313048
1.3,0.00213692129619831,0.0628824793061999,0.0339827773932512
1.35,0.00212674505082523,0.0625248374453382,0.0340144035189939
1.4,0.00210080437791142,0.0617675743379116,0.0340114437134694
1.45,0.00211142864526367,0.0621322139043854,0.0339828329393336
1.5,0.00205492176765401,0.0604619047511702,0.0339870497979016
