N_A,trace_norm_distance,normalized_trace_norm_distance,theoretical_tr_rho_AB_sq
1,0.000886663007695132,0.0669892941089912,0.0132358911896062
1.05,0.000856650894430422,0.064784664555341,0.0132230505523208
1.1,0.000839032082980163,0.0634727188776337,0.0132187827749698
1.15,0.000821687924931941,0.0621781657611159,0.0132150557172884
1.2,0.000793402047920022,0.0600326995970272,0.0132161647443106
1.25,0.000784917330916529,0.0594218466013541,0.013209238282047
1.3,0.000779281533296464,0.0588613633113203,0.01323927088088
1.35,0.00077461346180326,0.0584244182419794,0.013258385536592
1.4,0.000776251875771899,0.0583928548761137,0.0132936106210048
1.45,0.000775067737256682,0.0582971223514997,0.0132951285757031
1.5,0.000768567489650327,0.0579221004308909,0.0132689851357745
