N_A,trace_norm_distance,normalized_trace_norm_distance,theoretical_tr_rho_AB_sq
1,0.00282353924419758,0.0436725916440265,0.0646524316031467
1.05,0.00266129091210229,0.041151154582601,0.0646711116394169
1.1,0.00257879427345082,0.0398810227319098,0.0646621901044545
1.15,0.00258062826795266,0.0398993560420855,0.0646784440638749
1.2,0.00252767851117415,0.0390699696374857,0.0646961985030303
1.25,0.0025417822652035,0.0392849897434347,0.0647011054808353
1.3,0.00250975692792311,0.0388050589843433,0.0646760240445896
1.35,0.00240867443928522,0.0371933237219888,0.0647609355186829
1.4,0.00233272404931462,0.0359863305062383,0.064822503892422
1.45,0.00235942099523663,0.0363860681953715,0.0648440766550523
1.5,0.00229428428170817,0.0353589568676654,0.0648855193973841
