N_A,trace_norm_distance,normalized_trace_norm_distance,theoretical_tr_rho_AB_sq
1,0.0036252767351253,0.0522052372724338,0.0694427786278747
1.05,0.00359941211032444,0.0516997976890706,0.0696213964312159
1.1,0.00361012414512638,0.0517309553972227,0.0697865353037767
1.15,0.00354306635052841,0.0506120092694208,0.0700044594488979
1.2,0.00365990967691227,0.0520425648814619,0.0703253132363576
1.25,0.00366966831349095,0.0519255568902578,0.0706717179990311
1.3,0.00390901160990927,0.0550439174369646,0.0710162319821405
1.35,0.00372535415218565,0.052203593086809,0.0713620257132644
1.4,0.00363358614876046,0.0507687349309656,0.071571335265717
1.45,0.00359257770021895,0.0499042743788172,0.071989378564011
1.5,0.00352553202598608,0.0489456187486978,0.0720295731490753
