N_A,trace_norm_distance,normalized_trace_norm_distance,avg_tr_rho_AB_sq,std_tr_rho_AB_sq
1,0.000451128896695854,0.00701450560052701,0.0643137125247943,0.000301266771662333
2,0.0011106221625008,0.017268823690945,0.0643137125247943,0.000301266771662333
3,0.00209606676941351,0.0325912886556724,0.0643137125247943,0.000301266771662333
4,0.00407432392979401,0.0633507811918534,0.0643137125247943,0.000301266771662333
5,0.00966959894730543,0.150350501746849,0.0643137125247943,0.000301266771662333
6,0.0284116733728665,0.441766961624446,0.0643137125247943,0.000301266771662333
