N_A,trace_norm_distance,normalized_trace_norm_distance,avg_tr_rho_AB_sq,std_tr_rho_AB_sq
1,0.00338770686698478,0.0257600511377833,0.131510098674295,0.00245323041781205
2,0.00829078914602557,0.0630429847563187,0.131510098674295,0.00245323041781205
3,0.0172339422411073,0.131046531139709,0.131510098674295,0.00245323041781205
4,0.0387156622554238,0.294393074339553,0.131510098674295,0.00245323041781205
