N_A,N_B,multi_entropy_avg,multi_entropy_std,S_A_avg,S_A_std,S_B_avg,S_B_std,S_AB_avg,S_AB_std,sum_Renyi_avg,sum_Renyi_std,kappa_avg,kappa_std
1,11,4.79356809300738,0.0237507980746664,0.973857748830317,0.00507804624956338,4.75741828393587,0.0233457901531841,3.81122476443218,0.0251732018658621,4.77125039859918,0.0237342686159527,0.0223176944081902,0.00230139727464213
2,10,5.75758010170777,0.0228443691616083,1.92424250499259,0.013321264146234,5.61781709650387,0.0221498726361112,3.81122476443218,0.0251732018658621,5.67664218296433,0.0228564134277225,0.0809379187434446,0.00555552277232131
3,9,6.71439632265345,0.0239320713260634,2.8726926878997,0.0203061391505798,6.29789616619881,0.0225666863881732,3.81122476443218,0.0251732018658621,6.49090680926536,0.0230684184977626,0.223489513388095,0.00883722247751524
4,8,7.65271655924229,0.0257453361149611,3.81293782753714,0.025048667309491,6.5682726065237,0.0225250718358986,3.81122476443218,0.0251732018658621,7.09621759924651,0.022188382759369,0.556498959995796,0.0119566022738923
5,7,8.51418408298606,0.0275176690401573,4.73167211091446,0.0286037785922985,6.28244453755094,0.0220903700426256,3.81122476443218,0.0251732018658621,7.4126707064488,0.0211453975825887,1.10151337653726,0.0130768448447895
6,6,8.95763237655468,0.027396447645344,5.58737760728087,0.0299814404006647,5.59561492155337,0.0219346543573103,3.81122476443218,0.0251732018658621,7.49710864663321,0.0215285205043115,1.46052372992148,0.010509120209747
7,5,8.51421585703041,0.0304858331716151,6.26437669960451,0.0290067796826066,4.7347549112693,0.020770330839281,3.81122476443218,0.0251732018658621,7.40517818765299,0.0230224471807794,1.10903766937741,0.0165973147120623
8,4,7.65159910755916,0.031058982120636,6.53849313458551,0.0277322805134492,3.81337550631716,0.0187040476438433,3.81122476443218,0.0251732018658621,7.08154670266743,0.0263167183483313,0.570052404891745,0.0145140483028127
9,3,6.71292039341478,0.0302025976348264,6.26294937163889,0.0289724012114864,2.87229759797676,0.015673007607909,3.81122476443218,0.0251732018658621,6.47323586702391,0.029369268346293,0.239684526390861,0.00989737492199
10,2,5.75639322491344,0.0287631941965774,5.58605586806856,0.0292673546482058,1.92359602021995,0.011251392548545,3.81122476443218,0.0251732018658621,5.66043832636035,0.0296109837193083,0.0959548985530954,0.00636415600463546
11,1,4.79200401320679,0.0266678068973824,4.73029150163221,0.0277733279494607,0.972361423887259,0.00505595594443177,3.81122476443218,0.0251732018658621,4.75693884497584,0.027552578143917,0.0350651682309513,0.00343816231902179
