N_A,N_B,multi_entropy_avg,multi_entropy_std,S_A_avg,S_A_std,S_B_avg,S_B_std,S_AB_avg,S_AB_std,sum_Renyi_avg,sum_Renyi_std,kappa_avg,kappa_std
1,11,4.59977761080966,0.0385496960199457,0.943223683689788,0.00874897355365935,4.56234693540803,0.0375816741460313,3.6388841061891,0.0413515750034541,4.57222736264346,0.0382935381117553,0.0275502481661815,0.00327758543435782
2,10,5.52516719754535,0.0360494244586191,1.84044168109277,0.0221100005560639,5.38237316576118,0.0332012071834829,3.6388841061891,0.0413515750034541,5.43084947652152,0.0351994322891655,0.0943177210238311,0.00770676124348936
3,9,6.44720637039956,0.037040279382094,2.74152180624482,0.0336208633224414,6.02485281034645,0.0304163694956172,3.6388841061891,0.0413515750034541,6.20262936139019,0.0339661068285814,0.244577009009355,0.0124031144531222
4,8,7.35295993421845,0.0392229913599167,3.63997630104167,0.0412919449327872,6.27465202992202,0.0288162607576863,3.6388841061891,0.0413515750034541,6.7767562185764,0.0322046536357576,0.576203715642046,0.0175006910623885
5,7,8.17845200491342,0.0401176965765191,4.51939465172591,0.0454244453657587,6.00094163891245,0.0299363924592163,3.6388841061891,0.0413515750034541,7.07961019841373,0.0301749583563827,1.09884180649969,0.0200324356997858
6,6,8.59523641459653,0.0390793162980023,5.33682626073278,0.0447807738895452,5.34651902951854,0.0313993340682786,3.6388841061891,0.0413515750034541,7.1611146982202,0.0293358268679826,1.43412171637632,0.0174658339848594
7,5,8.17786856199129,0.048325145968198,5.97985196632765,0.0388483592925657,4.52329683066111,0.0313618461598951,3.6388841061891,0.0413515750034541,7.07101645158894,0.0318048172480909,1.10685211040235,0.02751226756117
8,4,7.35112667428131,0.0513690799304421,6.23840428878045,0.0337546413996755,3.64084742439491,0.0290230046388415,3.6388841061891,0.0413515750034541,6.75906790968224,0.0386966508411779,0.592058764599064,0.0222563015507369
9,3,6.44499994617168,0.0508409996827432,5.97963934231969,0.0399048349656736,2.74109621649613,0.0251362431718381,3.6388841061891,0.0413515750034541,6.17980983250247,0.0459498073170651,0.265190113669221,0.0134176204648001
10,2,5.52191965657123,0.048728617554443,5.33685424852693,0.0452526088175393,1.8381669211984,0.0185153390434163,3.6388841061891,0.0413515750034541,5.40695263795721,0.0480019864663349,0.114967018614005,0.0080518437343863
11,1,4.59491994594079,0.0447754310285809,4.51885542143347,0.0451212930119091,0.939164049360734,0.00865929745058658,3.6388841061891,0.0413515750034541,4.54845178849165,0.045345513509761,0.0464681574491351,0.00429248251766916
