N_A,trace_norm_distance,normalized_trace_norm_distance,avg_tr_rho_AB_sq,std_tr_rho_AB_sq
1,0.00191375319580107,0.0148000565685011,0.129307154127648,0.00146784794168435
2,0.00565595721697672,0.0437404817632392,0.129307154127648,0.00146784794168435
3,0.0116059223990093,0.0897546812263172,0.129307154127648,0.00146784794168435
4,0.0243387637949558,0.188224417737393,0.129307154127648,0.00146784794168435
5,0.0606172403446578,0.468784892480261,0.129307154127648,0.00146784794168435
