L,trace_norm_distance,normalized_trace_norm_distance,avg_tr_rho_AB_sq,std_tr_rho_AB_sq
12,0.0239933942119644,0.628295096695751,0.0381880971825937,0.00250512724187072
13,0.0137126385609938,0.492521975829336,0.0278416786132308,0.00131252505417759
14,0.00791492668837923,0.35402219478814,0.0223571482378833,0.000654405780960183
15,0.00477293528044426,0.244302322450363,0.0195370033021853,0.000322348892659201
16,0.00292151656760515,0.162129283302243,0.0180196723756487,0.000189087058264618
