N_A,trace_norm_distance,normalized_trace_norm_distance,theoretical_tr_rho_AB_sq
1,0.00236570459240966,0.0724997295210281,0.0326305299073358
1.05,0.00233192498331865,0.0714427531682477,0.0326404691855446
1.1,0.00231640489431599,0.0709567121229999,0.0326453245226556
1.15,0.00228990982432901,0.0701319269396723,0.0326514602443307
1.2,0.00226072143787808,0.0692279644377275,0.0326561882360656
1.25,0.00224637171759529,0.0687978938124205,0.0326517512835508
1.3,0.00220483042394999,0.0675185913738958,0.032655160291191
1.35,0.00217821042739718,0.0667016687611388,0.032656010979237
1.4,0.00215952041078712,0.0660627200066809,0.0326889418202691
1.45,0.00214486876496721,0.0656172403126423,0.0326875795865186
1.5,0.0021321287701773,0.0652078374389592,0.0326974310744959
