N_A,trace_norm_distance,normalized_trace_norm_distance,theoretical_tr_rho_AB_sq
1,0.000694492948568129,0.10475454921059,0.00662971635887602
1.05,0.000680009656898675,0.102495839705646,0.00663450983817068
1.1,0.000674378745911912,0.101687228838376,0.00663189226037211
1.15,0.000669318165563051,0.100933476785311,0.00663128019444641
1.2,0.000663612932605266,0.100117333262498,0.00662835206432572
1.25,0.000653496952887238,0.098555310666645,0.00663076346131804
1.3,0.000653489124818497,0.0984296778277692,0.00663914724949078
1.35,0.000651757116201263,0.0980298639913257,0.00664855677305575
1.4,0.000643529899144071,0.0969879208492763,0.00663515511528642
1.45,0.000649383407137168,0.0978108583641853,0.00663917501591979
1.5,0.000644278701722017,0.097102821167025,0.00663501527534204
