N_A,trace_norm_distance,normalized_trace_norm_distance,theoretical_tr_rho_AB_sq
1,0.00174572502011252,0.0491944964473422,0.035486185369966
1.05,0.00172625504246944,0.0484992006238962,0.0355934741245794
1.1,0.00174286889901195,0.0487367350137741,0.0357608875218943
1.15,0.00170182046203114,0.0473631754964416,0.0359312998799879
1.2,0.00171620791419151,0.0475568646437657,0.0360874907765076
1.25,0.00171420028280008,0.0473415263562565,0.0362092314028978
1.3,0.00168338191791945,0.0462614544637098,0.0363884347657075
1.35,0.00167734459718805,0.0458453916665724,0.0365869836904691
1.4,0.00168657696029787,0.0458302938168176,0.0368004832576258
1.45,0.00169345810824112,0.0458205158150759,0.0369585125378257
1.5,0.00168079767529886,0.045285022948086,0.0371159726964408
