N_A,trace_norm_distance,normalized_trace_norm_distance,theoretical_tr_rho_AB_sq
1,0.00131386823587379,0.0394412545046687,0.033312029558245
1.05,0.00129318714026244,0.0387658340854726,0.0333589401794159
1.1,0.00124487036240361,0.0372632545792219,0.0334074512937943
1.15,0.00122860471643785,0.0367387962906497,0.03344161596145
1.2,0.00121362747475039,0.0362150765887567,0.033511663899868
1.25,0.00119033979481825,0.0354703021292957,0.0335587723634055
1.3,0.0011722698836473,0.0349052538169975,0.0335843391884017
1.35,0.0011437352417905,0.034023727811761,0.0336158121214204
1.4,0.0011426856360979,0.0339222078727506,0.0336854735512605
1.45,0.00114618519558661,0.0339795074786467,0.0337316600691429
1.5,0.001124568943842,0.0333125354592232,0.0337581312361695
