N_A,trace_norm_distance,normalized_trace_norm_distance,theoretical_tr_rho_AB_sq
1,0.00204044770231399,0.0612525784040368,0.033312029558245
1.05,0.00201857604360197,0.060510796588422,0.0333589401794159
1.1,0.00198253170587999,0.0593439974946025,0.0334074512937943
1.15,0.00197286293271754,0.058994246420142,0.03344161596145
1.2,0.0019639992477165,0.0586064378535448,0.033511663899868
1.25,0.00193283207049416,0.0575954343491373,0.0335587723634055
1.3,0.00189749002629038,0.0564992515007017,0.0335843391884017
1.35,0.00187046006333098,0.0556422690778635,0.0336158121214204
1.4,0.00185569337746093,0.055088831529622,0.0336854735512605
1.45,0.00183516083934422,0.0544046997859732,0.0337316600691429
1.5,0.00185158205528656,0.0548484761295886,0.0337581312361695
