N_A,N_B,multi_entropy_avg,multi_entropy_std,S_A_avg,S_A_std,S_B_avg,S_B_std,S_AB_avg,S_AB_std,sum_Renyi_avg,sum_Renyi_std,kappa_avg,kappa_std
1,11,4.80218629215436,0.112319411474135,0.984796900820443,0.0161432335658305,4.76013898690752,0.112806935004472,3.81634190837152,0.108124944995955,4.78063889804974,0.109106333923772,0.021547394104612,0.00808723372114628
2,10,5.76467873773751,0.128073312315727,1.94604020757334,0.0447510105105903,5.59995491060599,0.128840804417048,3.81634190837152,0.108124944995955,5.68116851327542,0.115784213677965,0.083510224462094,0.022368611227273
3,9,6.70499816647238,0.164859377011793,2.89516900252428,0.0700734030639839,6.24472781940318,0.150737192727988,3.81634190837152,0.108124944995955,6.4781193651495,0.129210904790047,0.226878801322889,0.0437359346402318
4,8,7.6009987815316,0.216973051158139,3.81962249596437,0.0934960374313838,6.50439328835454,0.153896027488296,3.81634190837152,0.108124944995955,7.07017884634522,0.136354457396511,0.530819935186389,0.0865621077099814
5,7,8.37284535843682,0.311321034154718,4.69624752395404,0.127178844003127,6.2496911730893,0.146133577514617,3.81634190837152,0.108124944995955,7.38114030270743,0.14822587092053,0.991705055729399,0.172909209155428
6,6,8.74543040912463,0.390175855996672,5.48264703522657,0.173474701321744,5.60945286056619,0.121654323231839,3.81634190837152,0.108124944995955,7.45422090208215,0.161551740804882,1.29120950704249,0.245500832875362
7,5,8.37797589490955,0.364999314305857,6.06682679122741,0.221107866223899,4.77498459405791,0.0931284897981905,3.81634190837152,0.108124944995955,7.32907664682842,0.176143216838932,1.04889924808113,0.206071005880372
8,4,7.59744486373066,0.286945642897874,6.29092810731684,0.247095785673498,3.86522130198728,0.0666463946418781,3.81634190837152,0.108124944995955,6.98624565883782,0.183433608684955,0.611199204892833,0.122428025206892
9,3,6.69802155068684,0.22548537450234,6.05708396007036,0.233741595240014,2.9198422390393,0.0485499353090383,3.81634190837152,0.108124944995955,6.39663405374059,0.177415223429387,0.301387496946258,0.071106609106692
10,2,5.75833438256147,0.175936982531981,5.46932098627669,0.191462619023856,1.95798413839133,0.0321050808723724,3.81634190837152,0.108124944995955,5.62182351651977,0.156285514532978,0.136510866041697,0.0406242445279792
11,1,4.79419459043463,0.137215865667386,4.6895597518447,0.146088716660215,0.983302745254882,0.0147766776246328,3.81634190837152,0.108124944995955,4.74460220273555,0.130882600533601,0.0495923876990735,0.0191423320418935
