N_A,N_B,multi_entropy_avg,multi_entropy_std,S_A_avg,S_A_std,S_B_avg,S_B_std,S_AB_avg,S_AB_std,sum_Renyi_avg,sum_Renyi_std,kappa_avg,kappa_std
1,11,4.53648212765237,0.219929709257025,0.956252306779279,0.0433363908603607,4.48345568425138,0.215068708156372,3.57397866275876,0.221091650452927,4.50684332689471,0.213270649456051,0.0296388007576597,0.0144737408261264
2,10,5.44107957163263,0.23611167749276,1.85100219540718,0.11273030346919,5.25399670525815,0.223738291973213,3.57397866275876,0.221091650452927,5.33948878171205,0.212780334882931,0.101590789920594,0.0375829639461177
3,9,6.30180165606328,0.311688846730946,2.72574572128733,0.176463374418713,5.824555263513,0.266532876209514,3.57397866275876,0.221091650452927,6.06213982377955,0.239719557322855,0.23966183228374,0.0856139954645099
4,8,7.10285742172948,0.430701534533866,3.57903060517705,0.232475281735034,6.05841834865734,0.29794882407482,3.57397866275876,0.221091650452927,6.60571380829658,0.272566031957094,0.49714361343291,0.172966710543866
5,7,7.74699003104404,0.572100151647328,4.37199072808208,0.288418082059941,5.84049831043074,0.287992586222662,3.57397866275876,0.221091650452927,6.89323385063579,0.296249458003964,0.853756180408239,0.298109303309545
6,6,8.02564045831497,0.692049273098807,5.05663496105578,0.357094714115368,5.26605023119981,0.256097078418148,3.57397866275876,0.221091650452927,6.94833192750717,0.322893673503723,1.07730853080781,0.396877008415273
7,5,7.72868384516276,0.672556088492705,5.54703711233561,0.421318769632665,4.50305702059376,0.209168651351491,3.57397866275876,0.221091650452927,6.81203639784407,0.344708760971451,0.91664744731869,0.356722038581661
8,4,7.06480940216098,0.568383392062958,5.72859219340509,0.449189621992748,3.65874999946086,0.161348459321877,3.57397866275876,0.221091650452927,6.48066042781235,0.351570676387589,0.584148974348623,0.244874920646815
9,3,6.2631449500144,0.455503972756297,5.54172339760088,0.419841736764436,2.77373233927892,0.118855011925738,3.57397866275876,0.221091650452927,5.94471719981928,0.334865970663991,0.318427750195112,0.148316074752342
10,2,5.40032110282446,0.35928010135833,5.04642669847293,0.354555294544228,1.86524848501675,0.0789683897174595,3.57397866275876,0.221091650452927,5.24282692312423,0.301550374636823,0.157494179700233,0.0810210441620855
11,1,4.50381720328693,0.279680141051414,4.36604175272722,0.281997866289267,0.946057429447191,0.0362288271075392,3.57397866275876,0.221091650452927,4.44303892246659,0.260086049593349,0.0607782808203369,0.0352401936428863
