N_A,N_B,multi_entropy_avg,multi_entropy_std,S_A_avg,S_A_std,S_B_avg,S_B_std,S_AB_avg,S_AB_std,sum_Renyi_avg,sum_Renyi_std,kappa_avg,kappa_std
1,11,4.89813070847467,0.0423102162741114,0.995190384502437,0.0055231632197209,4.85916268282285,0.0435433158184268,3.90397144490409,0.0408050459651321,4.8791622561147,0.0419447450880966,0.0189684523599678,0.00477682205181111
2,10,5.8819799621426,0.0497334832084481,1.98331479424295,0.0149265173281791,5.72687904941078,0.0567383790856076,3.90397144490409,0.0408050459651321,5.8070826442789,0.0482311642480103,0.0748973178636963,0.0118420773088129
3,9,6.84420405792839,0.0691424976720146,2.95525479247211,0.0262518127338154,6.40288027192187,0.0751987033845326,3.90397144490409,0.0408050459651321,6.63105325464905,0.0591002875542247,0.213150803279351,0.0198063541644531
4,8,7.77095737923495,0.109373676372625,3.90409517429178,0.0426063897835516,6.6760416704731,0.0833494587554119,3.90397144490409,0.0408050459651321,7.24205414483448,0.0684965667408267,0.528903234400459,0.0466027981626468
5,7,8.59695016317619,0.183476211741157,4.81629645046556,0.0686947083473537,6.401864610512,0.077946887142775,3.90397144490409,0.0408050459651321,7.56106625294082,0.0776382254618676,1.03588391023536,0.110776946852152
6,6,9.01464627220571,0.235726985494913,5.64551736691021,0.102856504999774,5.7271822701352,0.0559861621169255,3.90397144490409,0.0408050459651321,7.63833554097477,0.0837365069788372,1.37631073123097,0.160375896916138
7,5,8.61291823761938,0.200955188778017,6.27822926315615,0.14219267317433,4.86378523156069,0.0389432456547202,3.90397144490409,0.0408050459651321,7.52299296981047,0.0953215806450519,1.08992526780891,0.118169105915607
8,4,7.78101218042632,0.139105293752122,6.52715536709815,0.159131556696395,3.92794944345856,0.0257901913187653,3.90397144490409,0.0408050459651321,7.17953812773041,0.0990667838243317,0.60147405269592,0.0624932697074326
9,3,6.84718832974084,0.0917500980720558,6.27592638316677,0.141132249339369,2.96446859861806,0.0158648491908474,3.90397144490409,0.0408050459651321,6.57218321334446,0.0885982732799835,0.275005116396369,0.0355501019197156
10,2,5.88267698233713,0.0603705030404639,5.64365562929641,0.100651314835273,1.98683025776558,0.00825502472645975,3.90397144490409,0.0408050459651321,5.76722866598302,0.0689219730375965,0.115448316354103,0.021098855978473
11,1,4.89753085644069,0.0462515516930886,4.81407023202889,0.0658082406125217,0.995728124982659,0.00341422121340625,3.90397144490409,0.0408050459651321,4.85688490095782,0.0524911698126524,0.0406459554828692,0.0119661127381569
