N_A,N_B,multi_entropy_avg,multi_entropy_std,S_A_avg,S_A_std,S_B_avg,S_B_std,S_AB_avg,S_AB_std,sum_Renyi_avg,sum_Renyi_std,kappa_avg,kappa_std
1,11,3.01725486572927,0.60909935727354,0.780836927959113,0.218447761741813,2.94696490996672,0.574655599959984,2.25129833405236,0.635927853927431,2.9895500859891,0.584393253813336,0.0277047797401659,0.0459335849343382
2,10,3.5754959878428,0.653465807716702,1.37366032160462,0.438926578718404,3.40591513483382,0.569063662964977,2.25129833405236,0.635927853927431,3.5154368952454,0.586637029900947,0.0600590925974053,0.0973432193618886
3,9,3.98704416493278,0.783141947268924,1.86115556119554,0.56154638005349,3.67484203146122,0.635262171795207,2.25129833405236,0.635927853927431,3.89364796335456,0.661990281652789,0.0933962015782225,0.156876775229165
4,8,4.36754161115838,0.898428155801198,2.31453067680957,0.658367713498142,3.85415194868943,0.668569485617181,2.25129833405236,0.635927853927431,4.20999047977569,0.724553250645183,0.157551131382698,0.214112513088227
5,7,4.63774180494644,0.998036533874385,2.71413483031049,0.723347023190507,3.84682831531627,0.669949538735854,2.25129833405236,0.635927853927431,4.40613073983957,0.775207590690512,0.231611065106872,0.270993578639729
6,6,4.76886955553288,1.06655949422167,3.04870379081999,0.760046848070526,3.64610868376897,0.634187106230611,2.25129833405236,0.635927853927431,4.47305540432066,0.805036315147075,0.295814151212216,0.317887557513548
7,5,4.72380716236541,1.09216762850575,3.29682142284296,0.784494359095269,3.25401445301636,0.571185617933087,2.25129833405236,0.635927853927431,4.40106710495585,0.820400873682158,0.322740057409563,0.331785882296656
8,4,4.4565659376597,1.05565753701046,3.3909595129477,0.792394012636354,2.71553482869253,0.493520044219353,2.25129833405236,0.635927853927431,4.1788963378463,0.822300402580227,0.277669599813402,0.289335865131388
9,3,4.00303506128235,0.981581577699698,3.29080927855109,0.785664540773698,2.08105299017859,0.404212535758052,2.25129833405236,0.635927853927431,3.81158030139102,0.808172963916885,0.19145475989133,0.228174782404627
10,2,3.44514762775647,0.888722431976567,3.02625623897807,0.755310046915695,1.40872024428336,0.297782724050906,2.25129833405236,0.635927853927431,3.3431374086569,0.776005046602951,0.102010219099572,0.162809035753385
11,1,2.86313686034536,0.775169580386512,2.65880935792241,0.699228674172674,0.738933734875268,0.160192113722835,2.25129833405236,0.635927853927431,2.82452071342502,0.716068703543908,0.0386161469203377,0.0962023384881826
