N_A,N_B,multi_entropy_avg,multi_entropy_std,S_A_avg,S_A_std,S_B_avg,S_B_std,S_AB_avg,S_AB_std,sum_Renyi_avg,sum_Renyi_std,kappa_avg,kappa_std
1,5,3.59168834888016,0.142318981784016,0.987611223419028,0.0174377062693058,3.15694750097173,0.138159202433803,2.65134411905117,0.150115244651588,3.39795142172096,0.133654508609442,0.193736927159198,0.0336412390929507
2,4,4.33045828520521,0.212825836994975,1.90196230270783,0.0827670663056251,3.17105647231659,0.124636917304716,2.65134411905117,0.150115244651588,3.8621814470378,0.14381474449294,0.468276838167415,0.0802065883769093
3,3,4.59441990526689,0.27870640731431,2.62788723075358,0.169791276041855,2.68016321935585,0.0829219641655394,2.65134411905117,0.150115244651588,3.9796972845803,0.165212477414257,0.614722620686592,0.11933177186164
4,2,4.30729161433885,0.217876155223034,3.0982692165877,0.204052159192362,1.9120128420117,0.0343464539793765,2.65134411905117,0.150115244651588,3.83081308882529,0.173393518171376,0.476478525513562,0.0524183804349558
5,1,3.5557301643466,0.169708509293523,3.08372389920133,0.194245680344782,0.978785299915129,0.0166234334430781,2.65134411905117,0.150115244651588,3.35692665908382,0.169250484845144,0.198803505262787,0.0275033737438942
