N_A,N_B,multi_entropy_avg,multi_entropy_std,S_A_avg,S_A_std,S_B_avg,S_B_std,S_AB_avg,S_AB_std,sum_Renyi_avg,sum_Renyi_std,kappa_avg,kappa_std
1,5,3.53096966341084,0.186100157311968,0.975835171743124,0.0225630032142919,3.11446349360392,0.194076856043195,2.60545597839106,0.185909696366155,3.34787732186905,0.17635447336241,0.18309234154179,0.0392466957888134
2,4,4.26424201883258,0.263650034024282,1.87634437375362,0.0923978174888213,3.12498276827007,0.206499604673945,2.60545597839106,0.185909696366155,3.80339156020737,0.191941103355041,0.460850458625213,0.0805940575345344
3,3,4.59582171096912,0.272965131793085,2.62883476621056,0.139522607827763,2.67714275182648,0.129247093517516,2.60545597839106,0.185909696366155,3.95571674821405,0.169937590373953,0.640104962755072,0.108554128469656
4,2,4.26082562824001,0.222378586343968,3.06584164602916,0.21785163515225,1.90252099014411,0.0352440100117388,2.60545597839106,0.185909696366155,3.78690930728217,0.177614559076999,0.473916320957843,0.0578908657479786
5,1,3.52528964118487,0.200351184497356,3.06023439591362,0.231136375544141,0.97910753927707,0.0183145079130925,2.60545597839106,0.185909696366155,3.32239895679087,0.203745061561905,0.202890684393996,0.0179825134455207
