N_A,N_B,multi_entropy_avg,multi_entropy_std,S_A_avg,S_A_std,S_B_avg,S_B_std,S_AB_avg,S_AB_std,sum_Renyi_avg,sum_Renyi_std,kappa_avg,kappa_std
1,9,5.68236984698608,0.16240946822172,0.991263564704492,0.0141688793893274,5.51669376275593,0.155294554035791,4.70134009738978,0.137052693037162,5.60464871242511,0.148523021495596,0.0777211345609744,0.0175616999354012
2,8,6.62987869205238,0.214141680216408,1.97165812995186,0.036942507989622,6.02162989022692,0.176498794967068,4.70134009738978,0.137052693037162,6.34731405878428,0.164267846158601,0.282564633268105,0.0544557952965363
3,7,7.50717657165745,0.296923073889117,2.92918939713757,0.0657845862545344,6.03342908580603,0.176341083469259,4.70134009738978,0.137052693037162,6.83197929016668,0.174923271020717,0.675197281490777,0.129685360636593
4,6,8.22037772294339,0.39178316292206,3.85044747964595,0.0994214830845127,5.55311320517742,0.142701252417551,4.70134009738978,0.137052693037162,7.05245039110657,0.173412415239862,1.16792733183681,0.233765183167355
5,5,8.52618553766025,0.458242245002056,4.7124510208043,0.143024690861576,4.78772369160942,0.106724729679119,4.70134009738978,0.137052693037162,7.10075740490174,0.177653599767619,1.4254281327585,0.301055500933236
6,4,8.2024292105543,0.417969929496695,5.43204558265598,0.19206301061715,3.89212364629341,0.0683688352549104,4.70134009738978,0.137052693037162,7.01275466316958,0.183539530806805,1.18967454738472,0.25223823214143
7,3,7.48627348192264,0.331107543211419,5.87171712283527,0.232931016174142,2.94833344369397,0.0414022364155932,4.70134009738978,0.137052693037162,6.76069533195951,0.193776795966339,0.725578149963129,0.151022699050317
8,2,6.61468339544056,0.248345293852783,5.869513795758,0.235333838194413,1.9806173015744,0.0215414942408193,4.70134009738978,0.137052693037162,6.27573559736108,0.190226816532925,0.338947798079474,0.0714835850445114
9,1,5.6728591621502,0.180081978022199,5.42353668941521,0.189569017466361,0.993538435260407,0.00850128859240136,4.70134009738978,0.137052693037162,5.55920761103268,0.164848655500298,0.113651551117511,0.0267315197649623
