N_A,trace_norm_distance,normalized_trace_norm_distance,theoretical_tr_rho_AB_sq
1,0.00395686039221416,0.103320759758703,0.0382968572962013
1.05,0.00398808665985166,0.103200396458651,0.0386441021227042
1.1,0.00378846653090756,0.0973483396612551,0.0389166013934122
1.15,0.00372611156256446,0.0951804742222374,0.0391478566692611
1.2,0.00376923503368276,0.094963866616462,0.039691254873876
1.25,0.00377746423071313,0.0943652182250685,0.0400302601081638
1.3,0.00389463199881394,0.0972644398962726,0.0400416843295182
1.35,0.00400861712621647,0.10091054150024,0.0397244635359223
1.4,0.00408574910638807,0.102319414871277,0.0399313181328116
1.45,0.00394310590584934,0.097756770328655,0.0403358856127586
1.5,0.00420058330676563,0.103386214168131,0.0406300137843762
