N_A,trace_norm_distance,normalized_trace_norm_distance,theoretical_tr_rho_AB_sq
1,0.00610801262363294,0.0867495828625361,0.0704097059845433
1.05,0.00588787608316365,0.0833585339161412,0.0706331530384983
1.1,0.00579152202774243,0.081938057825052,0.0706817098363261
1.15,0.00586809675396175,0.0832095016686071,0.0705219552609776
1.2,0.00623467680816401,0.0883909070963135,0.0705352735137168
1.25,0.00646216200767113,0.0909970933848873,0.071015037593985
1.3,0.00632528753974423,0.0892166308279355,0.0708980767492024
1.35,0.00619763159577912,0.0880386651807415,0.0703967010750961
1.4,0.00729048147217024,0.103520062131852,0.0704257833895471
1.45,0.00790201905753365,0.112571440606442,0.0701955932602804
1.5,0.00817898437701957,0.116397372934457,0.0702677746999077
