N_A,trace_norm_distance,normalized_trace_norm_distance,theoretical_tr_rho_AB_sq
1,0.00306707905803991,0.0689710948716919,0.0444690498787304
1.05,0.00277453446127968,0.06216999625996,0.0446281908990011
1.1,0.00298610043985712,0.0668459577648142,0.0446713689160263
1.15,0.00284799453773273,0.0646071974579304,0.0440816913562491
1.2,0.00276395373102384,0.0625042312059344,0.0442202660155497
1.25,0.00249725147962488,0.0563851905274068,0.044289137914876
1.3,0.00260101114911491,0.0582752080112746,0.0446332366348943
1.35,0.00285728530273777,0.0638572228158933,0.0447449039707788
1.4,0.00285329352879552,0.0638626311044092,0.0446786090621707
1.45,0.00283020494264139,0.0634901562195187,0.0445770669213018
1.5,0.00295482199276645,0.0656095798505452,0.0450364413169138
