N_A,trace_norm_distance,normalized_trace_norm_distance,theoretical_tr_rho_AB_sq
1,0.00789025222277635,0.105109341852349,0.0750670880791938
1.05,0.00784880802140461,0.103552898641166,0.0757951551757373
1.1,0.00754182086618765,0.0996580241734511,0.0756770057277213
1.15,0.00793487193485836,0.103963141640884,0.0763238952730719
1.2,0.00769912314520369,0.101348001149534,0.0759671928195605
1.25,0.00781229021691174,0.101691605217263,0.0768233542997071
1.3,0.00811801253257166,0.105487582635776,0.0769570439451745
1.35,0.00802207225979524,0.103621713561879,0.0774169040835708
1.4,0.00876503159351697,0.112006720429961,0.078254515085082
1.45,0.00986872436143591,0.126378710846983,0.0780885031608272
1.5,0.00987416135561336,0.125221680203225,0.0788534488563669
