N_A,trace_norm_distance,normalized_trace_norm_distance,theoretical_tr_rho_AB_sq
1,0.00957736602708491,0.134011550718806,0.0714667204111453
1.05,0.00911476252332449,0.127488910078848,0.0714945520962358
1.1,0.00972249310958213,0.136242831075065,0.0713615023474178
1.15,0.00934654522051887,0.129995974214697,0.0718987282258633
1.2,0.0103490486861068,0.143743524581923,0.0719966253520428
1.25,0.0118505546776073,0.164532178389823,0.0720257568676325
1.3,0.0125565522377847,0.17449310155762,0.0719601641881435
1.35,0.0119947765001587,0.166301679462032,0.0721266107411571
1.4,0.0111444328117801,0.154014422571623,0.0723596701250332
1.45,0.010046273016538,0.137715159621514,0.0729496523414593
1.5,0.00942427169402304,0.129348985752438,0.0728592623993218
